Country,Gender,Age,Education_Level,Employment_Status,Urban_Rural,Income_Level,Owns_Card,Owns_Account,Uses_Mobile_Banking
Pakistan,Male,19,Tertiary,Student,Rural,Low,0,0,0
Pakistan,Female,32,None,Employed,Rural,Low,0,1,1
Pakistan,Male,42,Secondary,Self-employed,Rural,Low,0,1,1
Pakistan,Male,56,Tertiary,Unemployed,Rural,Low,0,0,0
Pakistan,Male,36,Primary,Employed,Rural,Medium,0,0,0
Pakistan,Female,35,Tertiary,Self-employed,Urban,Medium,1,1,1
Pakistan,Male,20,Secondary,Employed,Rural,Medium,0,0,0
Pakistan,Male,15,Secondary,Unemployed,Rural,Low,0,1,0
Pakistan,Male,19,Secondary,Self-employed,Urban,Low,1,1,1
Pakistan,Female,55,Primary,Unemployed,Rural,Medium,0,1,1
Pakistan,Male,26,Tertiary,Student,Rural,Medium,0,1,1
Pakistan,Male,40,Tertiary,Self-employed,Urban,Medium,0,1,1
Pakistan,Male,60,Secondary,Self-employed,Rural,Low,0,1,1
Pakistan,Male,48,Secondary,Self-employed,Urban,High,1,1,1
Pakistan,Female,63,Secondary,Self-employed,Urban,Low,0,1,0
Pakistan,Male,28,Secondary,Student,Urban,Low,0,1,0
Pakistan,Female,40,Secondary,Self-employed,Urban,Medium,0,0,0
Pakistan,Female,59,Secondary,Employed,Rural,Medium,0,1,1
Pakistan,Female,41,Secondary,Self-employed,Urban,Low,1,1,1
Pakistan,Male,23,Secondary,Student,Urban,Low,1,1,1
Pakistan,Female,40,Secondary,Self-employed,Rural,Medium,0,0,0
Pakistan,Male,61,None,Employed,Urban,Low,0,1,1
Pakistan,Female,36,Primary,Student,Urban,Low,0,1,1
Pakistan,Female,61,Secondary,Student,Urban,Low,1,1,1
Pakistan,Female,44,Secondary,Employed,Urban,Medium,0,0,0
Pakistan,Female,57,Secondary,Employed,Rural,Low,0,1,1
Pakistan,Female,62,Secondary,Employed,Urban,High,0,1,1
Pakistan,Female,31,Secondary,Employed,Rural,Medium,0,1,1
Pakistan,Female,40,Secondary,Employed,Rural,High,0,1,1
Pakistan,Female,50,Primary,Student,Urban,High,0,0,0
Pakistan,Male,15,Secondary,Student,Urban,Low,0,0,0
Pakistan,Male,22,Secondary,Self-employed,Urban,Low,0,0,0
Pakistan,Female,63,Tertiary,Self-employed,Urban,Low,0,0,0
Pakistan,Female,49,Secondary,Unemployed,Rural,Low,1,1,1
Pakistan,Female,66,None,Self-employed,Rural,Medium,0,1,0
Pakistan,Male,29,Primary,Self-employed,Rural,Low,0,0,0
Pakistan,Female,61,None,Employed,Urban,Low,1,1,1
Pakistan,Male,36,Secondary,Employed,Rural,Low,0,0,0
Pakistan,Male,28,Primary,Self-employed,Urban,High,1,1,1
Pakistan,Male,40,Secondary,Unemployed,Urban,Low,1,1,1
Pakistan,Male,42,Secondary,Employed,Urban,Low,0,0,0
Pakistan,Male,37,None,Self-employed,Urban,Low,1,0,0
Pakistan,Female,28,Secondary,Self-employed,Urban,High,0,0,0
Pakistan,Female,38,Primary,Student,Rural,Medium,0,1,0
Pakistan,Female,16,Secondary,Unemployed,Rural,Low,0,0,0
Pakistan,Female,59,Primary,Student,Urban,Low,0,1,0
Pakistan,Female,40,Tertiary,Unemployed,Rural,Low,1,1,1
Pakistan,Male,28,Primary,Employed,Urban,Low,1,0,0
Pakistan,Female,65,Tertiary,Unemployed,Urban,High,1,0,0
Pakistan,Female,21,Secondary,Self-employed,Urban,Medium,1,1,1
Pakistan,Male,17,Tertiary,Self-employed,Rural,Low,1,0,0
Pakistan,Female,61,Secondary,Unemployed,Urban,High,1,1,1
Pakistan,Male,37,Secondary,Unemployed,Urban,Low,0,1,1
Pakistan,Female,60,Secondary,Unemployed,Rural,Medium,0,1,1
Pakistan,Male,57,Secondary,Student,Rural,High,0,0,0
Pakistan,Female,61,Secondary,Unemployed,Rural,Low,1,1,1
Pakistan,Female,59,Secondary,Employed,Urban,Medium,0,0,0
Pakistan,Male,32,Secondary,Student,Urban,Low,0,1,0
Pakistan,Male,52,None,Student,Rural,Low,0,0,0
Pakistan,Male,49,Primary,Unemployed,Urban,Low,0,1,1
Pakistan,Male,65,Secondary,Employed,Rural,Low,0,0,0
Pakistan,Male,29,Secondary,Student,Rural,Medium,0,1,1
Pakistan,Male,39,Secondary,Self-employed,Urban,High,1,0,0
Pakistan,Male,69,Secondary,Student,Urban,Medium,0,0,0
Pakistan,Male,51,Tertiary,Unemployed,Rural,High,1,0,1
Pakistan,Female,42,Primary,Employed,Rural,Medium,0,1,0
Pakistan,Female,24,Primary,Unemployed,Rural,Low,0,0,0
Pakistan,Male,53,Primary,Self-employed,Rural,Low,0,1,0
Pakistan,Female,31,Secondary,Self-employed,Urban,Low,0,0,0
Pakistan,Female,53,Tertiary,Self-employed,Rural,Medium,0,0,0
Pakistan,Female,36,Primary,Unemployed,Rural,High,0,1,1
Pakistan,Female,40,Secondary,Student,Rural,Low,0,1,0
Pakistan,Male,58,Secondary,Unemployed,Urban,Medium,0,1,0
Pakistan,Female,39,Secondary,Employed,Urban,Medium,0,1,1
Pakistan,Male,31,Secondary,Student,Rural,Medium,1,0,0
Pakistan,Female,27,Primary,Self-employed,Urban,Low,1,1,1
Pakistan,Female,34,Secondary,Unemployed,Urban,Low,0,1,1
Pakistan,Female,39,Secondary,Self-employed,Urban,Low,1,1,1
Pakistan,Male,18,None,Self-employed,Rural,Low,0,1,0
Pakistan,Female,24,Secondary,Employed,Rural,Low,1,1,1
Pakistan,Male,17,None,Student,Urban,Medium,1,0,0
Pakistan,Female,55,Secondary,Employed,Rural,Low,1,1,1
Pakistan,Male,59,Secondary,Employed,Rural,High,0,0,0
Pakistan,Female,32,Secondary,Employed,Urban,Medium,0,1,1
Pakistan,Male,61,Secondary,Self-employed,Urban,Medium,0,1,0
Pakistan,Male,50,None,Employed,Rural,Low,0,0,0
Pakistan,Female,61,Secondary,Employed,Urban,Medium,0,1,1
Pakistan,Male,36,Primary,Student,Rural,High,0,1,1
Pakistan,Female,48,Primary,Student,Rural,Low,0,1,1
Pakistan,Female,61,Tertiary,Employed,Urban,Low,0,1,0
